Fecha,avance,cobertura,rango_cobertura
2021-05-08,43.52,36.33,<50
2021-05-09,43.52,36.33,<50
2021-05-10,44.05,36.69,<50
2021-05-11,44.59,37.12,<50
2021-05-12,45.12,37.51,<50
2021-05-13,45.61,37.82,<50
2021-05-14,46.14,38.1,<50
2021-05-15,46.14,38.1,<50
2021-05-16,46.14,38.1,<50
2021-05-17,46.78,38.34,<50
2021-05-18,47.46,38.58,<50
2021-05-19,48.1,38.79,<50
2021-05-20,48.74,39.11,<50
2021-05-21,48.78,39.11,<50
2021-05-22,48.92,39.15,<50
2021-05-23,48.93,39.15,<50
2021-05-24,49.83,39.46,<50
2021-05-25,50.79,39.75,<50
2021-05-26,51.7,39.99,<50
2021-05-27,52.55,40.17,<50
2021-05-28,53.28,40.38,<50
2021-05-29,53.49,40.41,<50
2021-05-30,53.54,40.41,<50
2021-05-31,54.33,40.72,<50
2021-06-01,55.08,41.13,<50
2021-06-02,55.75,41.61,<50
2021-06-03,56.23,42.16,<50
2021-06-04,56.62,42.68,<50
2021-06-05,56.75,42.8,<50
2021-06-06,56.77,42.81,<50
2021-06-07,57.18,43.46,<50
2021-06-08,57.58,44.09,<50
2021-06-09,58.05,44.68,<50
2021-06-10,58.61,45.22,<50
2021-06-11,59.03,45.72,<50
2021-06-12,59.15,45.77,<50
2021-06-13,59.16,45.77,<50
2021-06-14,59.71,46.36,<50
2021-06-15,60.15,46.99,<50
2021-06-16,60.68,47.57,<50
